address,port,
116.202.118.183:9333
116.202.171.166:9333
116.202.113.92:9333
95.217.38.94:9333
136.243.32.6:9333
165.22.59.150:9333
95.217.108.109:9333
165.22.58.146:9333
206.189.42.110:9333
178.128.225.128:9333
209.97.128.49:9333
179.128.169.224:9333
165.22.114.246:9333
34.70.191.42:9333
167.71.128.122::9333
167.71.132.132:9333
125.77.88.89:9333
165.22.58.146:9333
209.97.128.49:9333
64.227.33.211:9333
35.188.118.131:9333
116.202.113.92:9333
35.232.64.223:9333
95.217.38.94:9333
34.71.247.44:9333
116.202.171.166:9333
35.193.174.85:9333
37.122.249.164:9333
35.193.7.173:9333
34.66.118.8:9333
35.202.49.223:9333
34.66.183.192:9333
35.232.120.137:9333
201.17.108.39:9333
206.189.42.110:9333
35.238.170.194:9333
116.202.118.183:9333
104.197.140.31:9333
35.223.163.8:9333
34.71.81.187:9333
130.211.202.185:9333
34.69.240.82:9333
178.128.169.224:9333
144.76.85.2:9333
35.184.152.150:9333
